level,n_eps,success_rate,max_n_placed_mean,reached_1plus,reached_2plus,reached_3plus,reached_4plus,reached_5plus
no_noise,64,0.484375,3.375,0.9375,0.71875,0.65625,0.578125,0.484375
light_obs,64,0.453125,3.421875,0.953125,0.734375,0.6875,0.59375,0.453125
light_action,64,0.578125,3.71875,0.953125,0.78125,0.71875,0.6875,0.578125
medium,64,0.390625,3.15625,0.9375,0.703125,0.609375,0.515625,0.390625
heavy,64,0.328125,2.75,0.9375,0.625,0.46875,0.390625,0.328125
very_heavy,64,0.296875,2.8125,0.859375,0.640625,0.5625,0.453125,0.296875
