level,n_eps,success_rate,max_n_placed_mean,reached_1plus,reached_2plus,reached_3plus,reached_4plus,reached_5plus
no_noise,64,0.3125,2.921875,0.9375,0.671875,0.546875,0.453125,0.3125
light_obs,64,0.3125,3.15625,0.984375,0.734375,0.640625,0.484375,0.3125
light_action,64,0.296875,3.046875,0.96875,0.765625,0.59375,0.421875,0.296875
medium,64,0.359375,3.015625,0.984375,0.6875,0.5625,0.421875,0.359375
heavy,64,0.375,2.984375,0.9375,0.609375,0.546875,0.515625,0.375
very_heavy,64,0.171875,2.140625,0.84375,0.46875,0.390625,0.265625,0.171875
