level,n_eps,success_rate,max_n_placed_mean,reached_1plus,reached_2plus,reached_3plus,reached_4plus,reached_5plus
no_noise,64,0.4375,3.46875,0.953125,0.796875,0.671875,0.609375,0.4375
light_obs,64,0.484375,3.578125,0.953125,0.8125,0.71875,0.609375,0.484375
light_action,64,0.40625,3.34375,0.96875,0.78125,0.640625,0.546875,0.40625
medium,64,0.34375,3.0,0.96875,0.71875,0.546875,0.421875,0.34375
heavy,64,0.390625,3.171875,0.953125,0.75,0.5625,0.515625,0.390625
very_heavy,64,0.265625,2.3125,0.890625,0.484375,0.359375,0.3125,0.265625
